項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
1246	7593	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	F-3地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18263	β線法	3710	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1247	7594	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	F-3地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18264	β線法	3540	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1248	7595	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	F-3地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18265	β線法	2520	80	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1249	7591	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	D-15地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18262	β線法	23760	640	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1250	7587	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-11地区 木道構築材	木材	T	d	弥生時代	----	C	Gak-18258	β線法	3080	160	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1251	7583	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-5地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18254	β線法	4710	100	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1252	7582	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-5地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18253	β線法	2070	80	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1253	7581	13：東京都	東京外かく環状道路練馬地区遺跡	練馬区	C-5地区	木材	T	d	不明	----	A,B,C,D,E,F,G,H	Gak-18252	β線法	4430	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1995	自然科学分析調査ー地形･環境変遷と人間活動のかかわり	p-1-13	----	東北縦貫自動車道弘前線(東京外かく環状道路)に係る埋蔵文化財発掘調査報告⑨　東京外かく環状道路練馬地区関連遺跡　自然科学分析編ー地形・環境変遷と人間活動のかかわりー	東京外かく環状道路練馬地区遺跡調査会
1254	7597	13：東京都	東京大学本郷校内の遺跡　浅野地区	文京区弥生	周溝墓周辺	木炭	T	f	弥生時代	----	C	Tka-12416	AMS法	2730	100	----	----	----	----	----	吉田邦夫(東京大学総合研究博物館)･小林紘一(パレオ･ラボ)	東京大学原子力研究総合センター	2009	墓の年代	211-214	----	東京大学埋蔵文化財調査室発掘調査報告書9　東京大学本郷校内の遺跡　浅野地区Ⅰ	東京大学埋蔵文化財調査室
1255	7598	13：東京都	東京大学本郷校内の遺跡　浅野地区	文京区弥生	周溝墓周辺	土壌	T	k	弥生時代	----	C	不明	AMS法	3060	60	----	----	----	----	----	吉田邦夫(東京大学総合研究博物館)･小林紘一(パレオ･ラボ)	加速器分析研究所	2009	墓の年代	211-214	----	東京大学埋蔵文化財調査室発掘調査報告書9　東京大学本郷校内の遺跡　浅野地区Ⅰ	東京大学埋蔵文化財調査室
1256	7600	13：東京都	東京大学本郷校内の遺跡　浅野地区	文京区弥生	周溝墓周辺	土壌	T	k	弥生時代	----	C	不明	AMS法	3040	40	----	----	----	----	----	吉田邦夫(東京大学総合研究博物館)･小林紘一(パレオ･ラボ)	加速器分析研究所	2009	墓の年代	211-214	----	東京大学埋蔵文化財調査室発掘調査報告書9　東京大学本郷校内の遺跡　浅野地区Ⅰ	東京大学埋蔵文化財調査室
1257	7601	13：東京都	東京大学本郷校内の遺跡　浅野地区	文京区弥生	周溝墓周辺	土壌	T	k	弥生時代	----	C	不明	AMS法	2870	40	----	----	----	----	----	吉田邦夫(東京大学総合研究博物館)･小林紘一(パレオ･ラボ)	加速器分析研究所	2009	墓の年代	211-214	----	東京大学埋蔵文化財調査室発掘調査報告書9　東京大学本郷校内の遺跡　浅野地区Ⅰ	東京大学埋蔵文化財調査室
1258	7602	13：東京都	東京大学本郷校内の遺跡　浅野地区	文京区弥生	周溝墓周辺	土壌	T	k	弥生時代	----	C	不明	AMS法	4300	40	----	----	----	----	----	吉田邦夫(東京大学総合研究博物館)･小林紘一(パレオ･ラボ)	加速器分析研究所	2009	墓の年代	211-214	----	東京大学埋蔵文化財調査室発掘調査報告書9　東京大学本郷校内の遺跡　浅野地区Ⅰ	東京大学埋蔵文化財調査室
1259	7599	13：東京都	東京大学本郷校内の遺跡　浅野地区	文京区弥生	周溝墓周辺	土壌	T	k	弥生時代	----	C	不明	AMS法	3380	60	----	----	----	----	----	吉田邦夫(東京大学総合研究博物館)･小林紘一(パレオ･ラボ)	加速器分析研究所	2009	墓の年代	211-214	----	東京大学埋蔵文化財調査室発掘調査報告書9　東京大学本郷校内の遺跡　浅野地区Ⅰ	東京大学埋蔵文化財調査室
1260	7596	13：東京都	東京大学本郷校内の遺跡　浅野地区	文京区弥生	周溝墓周辺	木炭	T	f	弥生時代	----	C	Tka-12302	AMS法	1210	100	----	----	----	----	----	吉田邦夫(東京大学総合研究博物館)･小林紘一(パレオ･ラボ)	東京大学原子力研究総合センター	2009	墓の年代	211-214	----	東京大学埋蔵文化財調査室発掘調査報告書9　東京大学本郷校内の遺跡　浅野地区Ⅰ	東京大学埋蔵文化財調査室
1261	7580	13：東京都	東京駅八重洲北口遺跡	千代田区丸の内	B区A地点周辺下部カキ層	木片(ムクロジ)	T	d	不明	----	A,B,C,D,E,F,G,H	PLD-1194	AMS法	2800	20	----	----	----	----	-26	山形秀樹(パレオ･ラボ)	パレオ･ラボ	2003	放射性炭素年代測定	812-813	----	東京駅八重洲北口遺跡　第2分冊	森トラスト株式会社　千代田区東京駅八重洲北口遺跡調査会
1262	7606	13：東京都	東山貝塚遺跡	目黒区東山	焼失住居跡	炭化材(ヤマグワ)	T	f	縄文時代後期	堀之内式期	B	IAA-73	β線法	3960	80	----	----	----	----	-24.6	パリノ･サーヴェイ	加速器分析研究所	2003	東山貝塚遺跡(Y地点)の自然科学分析	85-91	----	東山貝塚遺跡6(Y地点発掘調査報告)	目黒区教育委員会
1263	7605	13：東京都	東山貝塚遺跡	目黒区東山	焼失住居跡	炭化材(クリ)	T	f	縄文時代後期	堀之内式期	B	IAA-72	β線法	4140	80	----	----	----	----	-25.7	パリノ･サーヴェイ	加速器分析研究所	2003	東山貝塚遺跡(Y地点)の自然科学分析	85-91	----	東山貝塚遺跡6(Y地点発掘調査報告)	目黒区教育委員会
1264	7604	13：東京都	東山遺跡	目黒区東山	礫層	種子(オニグルミ核)	T	e	縄文時代中〜晩期	----	B	GaK-16439	β線法	2770	190	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1993	東山遺跡(Ⅹ地点)出土遺物の自然科学分析	96-103	----	東山遺跡Ⅹ地点	目黒区東山遺跡(Ⅹ地点)調査会
1265	7603	13：東京都	東山遺跡	目黒区東山	粘土層(三浦層)　杭　	木材(ヤマグワ)	T	d	縄文時代中〜晩期	----	B	GaK-16438	β線法	4630	80	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1993	東山遺跡(Ⅹ地点)出土遺物の自然科学分析	96-103	----	東山遺跡Ⅹ地点	目黒区東山遺跡(Ⅹ地点)調査会
1266	7608	13：東京都	東早淵遺跡	練馬区早宮	トレンチC No.19  泥炭質シルト層	木片	T	d	旧石器時代	立川ローム第3部層	A	GaK-12302	β線法	18250	580	----	----	----	----	----	東早淵遺跡調査団	学習院大学理学部年代測定室	1991	東早淵遺跡の14C年代	422-424	----	東早淵遺跡	練馬区遺跡調査会　練馬区教育委員会
1267	7607	13：東京都	東早淵遺跡	練馬区早宮	トレンチC No.21立川礫層最上位黒色泥炭層下底部	木片	T	d	旧石器時代	立川ローム第1部層	A	GaK-11532	β線法	13930	320	----	----	----	----	----	東早淵遺跡調査団	学習院大学理学部年代測定室	1991	東早淵遺跡の14C年代	422-424	----	東早淵遺跡	練馬区遺跡調査会　練馬区教育委員会
1268	7609	13：東京都	東池袋遺跡	豊島区東池袋	第7地区東壁　灰褐色砂混じり粘土質シルト層	材(コナラ属コナラ亜属コナラ節)	T	d	不明	----	A,B,C,D,E,F,G,H	IAAA-62067	AMS法	2170	30	2171	31	-25.09	0.7	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2007	自然科学分析	402-411	----	東池袋Ⅱ　第Ⅰ分冊	東池袋四丁目地区市街地再開発組合
1269	7105	13：東京都	松が丘遺跡	中野区松が丘	MT-G-a地点　E-bとE-cの境界付近	木材(トウヒ属)	T	d	旧石器時代	----	A	GaK-13501	β線法	11190	210	----	----	----	----	----	辻誠一郎(大阪大学理学部)･小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1989	松が丘遺跡の古環境復元	151-171	----	松が丘遺跡発掘調査報告書	中野区教育委員会　中野区松が丘遺跡調査会
1270	7106	13：東京都	松が丘遺跡	中野区松が丘	MT-G-a地点　E-d上部	木材(マツ属単維管束亜属)	T	d	旧石器時代	----	A	GaK-13502	β線法	13170	180	----	----	----	----	----	辻誠一郎(大阪大学理学部)･小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1989	松が丘遺跡の古環境復元	151-171	----	松が丘遺跡発掘調査報告書	中野区教育委員会　中野区松が丘遺跡調査会
1271	7104	13：東京都	松が丘遺跡	中野区松が丘	MT-D地点　C層下部C-dとC-c層の境界部	木材(モミ属)	T	d	旧石器時代	----	A	GaK-14108	β線法	12260	220	----	----	----	----	----	辻誠一郎(大阪大学理学部)･小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1989	松が丘遺跡の古環境復元	151-171	----	松が丘遺跡発掘調査報告書	中野区教育委員会　中野区松が丘遺跡調査会
1272	7103	13：東京都	松が丘遺跡	中野区松が丘	MT-D地点　C層下部C-dとC-c層の境界部	木材(マツ属単維管束亜属)	T	d	旧石器時代	----	A	GaK-14107	β線法	13100	210	----	----	----	----	----	辻誠一郎(大阪大学理学部)･小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1989	松が丘遺跡の古環境復元	151-171	----	松が丘遺跡発掘調査報告書	中野区教育委員会　中野区松が丘遺跡調査会
1273	7110	13：東京都	松原遺跡	西多摩郡瑞穂町箱根ヶ崎	KS調査区　グリッドD-004-4　炭化物集中B	炭化材(針葉樹)	T	f	旧石器時代	----	A	PLD-17058	AMS法	18550	60	18554	56	-25.1	0.27	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2011	放射性炭素年代測定	90-93	----	松原遺跡	瑞穂町　瑞穂町教育委員会
1274	7111	13：東京都	松原遺跡	西多摩郡瑞穂町箱根ヶ崎	KS調査区　グリッドD-004-4　炭化物集中B	炭化材	T	f	旧石器時代	----	A	PLD-17056	AMS法	18720	50	18715	51	-25.82	0.31	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2011	放射性炭素年代測定	90-93	----	松原遺跡	瑞穂町　瑞穂町教育委員会
1275	7109	13：東京都	松原遺跡	西多摩郡瑞穂町箱根ヶ崎	KS調査区　グリッドD-004-2　炭化物集中A	炭化材(広葉樹散孔材)	T	f	旧石器時代	----	A	PLD-17057	AMS法	16640	45	16641	47	-28.35	0.31	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2011	放射性炭素年代測定	90-93	----	松原遺跡	瑞穂町　瑞穂町教育委員会
1276	7108	13：東京都	松原遺跡	西多摩郡瑞穂町箱根ヶ崎	KS調査区　グリッドD-004-2　炭化物集中A	炭化材	T	f	旧石器時代	----	A	PLD-17055	AMS法	17190	50	17191	45	-26.93	0.11	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2011	放射性炭素年代測定	90-93	----	松原遺跡	瑞穂町　瑞穂町教育委員会
1277	7107	13：東京都	松海道遺跡	あきる野市平沢	A地点　3層	黒ボク土	T	k	縄文時代	----	B	Beta-148159	AMS法	4820	40	----	----	----	----	----	パリノ･サーヴェイ	地球科学研究所	2001	自然科学分析	258-263	----	松海道遺跡	あきる野市松海道遺跡調査会　東京都西多摩建設事務所
1278	7191	13：東京都	染地遺跡	調布市染地	第72地点　4地点14g層	木材	T	d	不明	----	A,B,C,D,E,F,G,H	IAAA-91402	AMS法	3000	30	3001	33	-30.15	0.59	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2010	染地遺跡第72地点の自然科学分析	127-133	----	調布市埋蔵文化財報集刊5−染地遺跡第19地点ー　ー染地遺跡第72地点ー	調布市遺跡調査会
